batsman,avg_wp_delta
A Ashish Reddy,-0.002858582634721503
A Chopra,-0.02858921049961639
A Choudhary,-0.010532326292966885
A Flintoff,-0.0017090778751976464
A Kumble,-0.0062451335645461875
A Mishra,-0.002606403498199308
A Mithun,-0.006211547299867083
A Mukund,0.03880414013032274
A Nehra,-0.004178786120707976
A Singh,-0.004142032359210404
A Symonds,-0.0011115486288819703
A Uniyal,-0.06800321860293604
A Zampa,-0.002587790151053572
AA Bilakhia,-0.0064033161433316044
AA Chavan,-0.008634426992990232
AA Jhunjhunwala,-0.003102739575425632
AA Noffke,3.2343917536465715e-05
AB Agarkar,-0.004847415902139907
AB Barath,-0.001396967809807482
AB Dinda,0.0012436832178746072
AB McDonald,-0.0043142768303809885
AB de Villiers,0.0009112436881159087
AC Blizzard,0.0025810024622159033
AC Gilchrist,0.0034621860807059215
AC Thomas,0.00024020585711795393
AC Voges,-0.005796504178250062
AD Mascarenhas,-0.01184104193514876
AD Mathews,-0.004374412914288162
AD Nath,-0.01243227507591069
AD Russell,0.004876125848410683
AF Milne,-0.0014275224709183335
AG Murtaza,0.000173147116320488
AG Paunikar,-0.005489346654615597
AJ Finch,0.0020455035395133304
AJ Tye,0.00248449178830535
AL Menaria,-0.0025535588244867467
AM Nayar,-0.0026431526070199167
AM Rahane,-0.0003746136973678076
AN Ahmed,0.000590475579196138
AN Ghosh,-0.051669669337729957
AP Dole,0.006468993641641553
AP Majumdar,-0.0051857505002150805
AP Tare,-0.00044978459888356964
AR Patel,-0.0016671770520986758
AS Rajpoot,-0.013823308200277792
AS Raut,-0.001502080935467843
AS Yadav,-0.013587544109650108
AT Rayudu,0.0008526779248922053
AUK Pathan,-7.780303975014453e-05
Abdur Razzak,-0.0001952983678045776
Anirudh Singh,-0.007654548544404037
Ankit Sharma,-0.0023852278395509593
Anureet Singh,-0.0003572628119944646
Azhar Mahmood,-0.0018861396192064155
B Akhil,-0.0031706199506580253
B Chipli,-0.002391056065235822
B Kumar,-0.0017029521192055736
B Laughlin,-0.011663951993189115
B Lee,-0.0005115220801004839
B Sumanth,-0.005514745544429902
BA Bhatt,-0.00023385413115347653
BA Stokes,0.006361713625413203
BAW Mendis,-0.008884469653404191
BB McCullum,0.0017419960574038957
BB Samantray,0.007952971996297362
BB Sran,-0.00023392706637099386
BCJ Cutting,-0.0013966362187186343
BJ Hodge,0.0007695776153176315
BJ Rohrer,-0.002619136241418291
BMAJ Mendis,-0.008542613534228317
BR Dunk,-0.009577487082026787
Basil Thampi,-0.0024968470309934317
Bipul Sharma,0.002737668196086697
C Munro,-0.004186129755207883
C Nanda,-0.12436318545008695
C de Grandhomme,0.0010995566792308896
CA Ingram,-0.0205929093582791
CA Lynn,0.005316804109453908
CA Pujara,-0.0028838862000277535
CH Gayle,0.002711055439624589
CH Morris,0.002244001534004556
CJ Anderson,-0.0015607920062079073
CJ Ferguson,-0.005130254049679651
CJ Jordan,-0.009939683507425263
CK Kapugedera,-0.023045093929995684
CK Langeveldt,1.3849404141824846e-05
CL White,-0.0057820739307744735
CM Gautam,-0.001811272293385861
CR Brathwaite,-0.01144000670082191
CR Woakes,-0.030673036505995097
CRD Fernando,-0.010603041267915163
D Salunkhe,-0.013459911839903393
D Wiese,-0.0021544485338715566
DA Miller,0.0023696751267399045
DA Warner,0.0025703490520552126
DAJ Bracewell,-0.0006903843593915417
DB Das,0.002425821758455756
DB Ravi Teja,-0.004201860513351177
DE Bollinger,-0.0017122460714695097
DH Yagnik,0.005089076826327843
DJ Bravo,-0.0024540835818574118
DJ Harris,-0.002547921462859171
DJ Hooda,0.0003122100698434833
DJ Hussey,-0.00011436774495953502
DJ Jacobs,0.008592625971365939
DJ Thornely,-0.0007828467248805296
DJG Sammy,0.0006716910291750484
DL Chahar,6.222969201414667e-05
DL Vettori,-0.0025763574490932414
DM Bravo,0.0
DNT Zoysa,0.002684050800151224
DP Nannes,-0.0004994317242045537
DP Vijaykumar,-0.002369100537450569
DPMD Jayawardene,0.0015490028745201942
DR Smith,0.0037674591739559776
DS Kulkarni,0.0015410545994578382
DS Lehmann,-0.000559964445597746
DT Christian,-0.007479371347530218
DT Patil,-0.0019473691120318684
DW Steyn,-0.007130363418967913
EJG Morgan,-0.002614275318887842
F Behardien,-0.015205633091637416
F du Plessis,0.0002929857765416297
FY Fazal,-0.004385930864261036
G Gambhir,0.0009906053212479277
GB Hogg,-0.0007418125599270773
GC Smith,-0.001587865492251122
GD McGrath,-0.0002951191888982357
GH Vihari,0.0021908359459958822
GJ Bailey,-0.0028811200475215553
GJ Maxwell,0.004791715394597981
Gurkeerat Singh,-0.00039847694337838126
H Das,-0.012912473480801176
HH Gibbs,-0.0008351115060228402
HH Pandya,0.002403099180018725
HM Amla,0.0012012702816069224
HV Patel,0.0007700151103879684
Harbhajan Singh,-0.003598520468135356
Harmeet Singh,-0.0002909381203063199
Harpreet Singh,0.004092390831920915
I Sharma,-0.0033840504163604496
IC Pandey,-8.579599618684423e-05
IK Pathan,-0.0011720231048609024
IR Jaggi,-0.00926298909778843
Imran Tahir,-0.0016346366869010411
Iqbal Abdulla,-0.006517148819723909
Ishan Kishan,-0.006910208062854009
J Arunkumar,0.0032825497597453283
J Botha,-0.003933087508436782
J Suchith,0.001003396203132538
J Syed Mohammad,0.002064332032533343
J Theron,0.0031382933600227554
JA Morkel,0.0034238666839642353
JC Buttler,0.005351552783554327
JD Ryder,0.0002979836272127167
JD Unadkat,-0.0002394970631451554
JDP Oram,-0.014255507889703582
JDS Neesham,-0.008764640244958485
JE Taylor,0.0002820163977781888
JEC Franklin,-0.001237311624889967
JH Kallis,-0.0010796650675718663
JJ Bumrah,-0.0060162359439340654
JJ van der Wath,0.0007676335084545851
JM Kemp,-0.005410070502035363
JO Holder,-0.008060387829877492
JP Duminy,-0.000887570369632641
JP Faulkner,0.0025824434606606583
JR Hopes,-0.0006453088741375697
Jaskaran Singh,-0.018682813601834953
Joginder Sharma,-0.010115312273775651
K Goel,-0.006884067463038857
K Rabada,-0.0028144344962707938
K Upadhyay,0.00010011624353999076
KA Pollard,0.001905648892863724
KAJ Roach,-0.012076915397591696
KB Arun Karthik,-0.008062902238092678
KC Cariappa,-0.03495919603243924
KC Sangakkara,-0.0010879921435335825
KD Karthik,0.0006545534968547104
KH Pandya,0.007272624760365059
KJ Abbott,-0.04309444530683593
KK Cooper,-0.0038383970764076644
KK Nair,0.0005525404862757328
KL Rahul,0.00037030479041188824
KM Jadhav,-0.0036893241519984988
KMDN Kulasekara,0.004220225412671495
KP Appanna,-0.00037206934907787283
KP Pietersen,0.0014806006813772679
KS Williamson,-0.004837373649462312
KV Sharma,0.0019697599635858723
KW Richardson,0.0013319310210946492
Kamran Akmal,0.00047138023503477184
Kamran Khan,-0.0024592983148294806
Karanveer Singh,9.547433042763941e-05
Kuldeep Yadav,-0.012120772593666432
L Ablish,0.00019352086787812698
L Balaji,-0.01769354413463509
L Ronchi,0.0008869019125614966
LA Carseldine,-0.0004480396248732744
LA Pomersbach,-0.00330885092883816
LJ Wright,-0.011727780694135242
LMP Simmons,0.001148325070053057
LPC Silva,-0.0038907136905620542
LR Shukla,-0.005355427970690679
LRPL Taylor,0.003632001675120866
M Ashwin,-0.00490865049801318
M Kaif,-2.9440754938634446e-05
M Kartik,-0.0005745499848361857
M Klinger,0.0007060266459956166
M Manhas,-0.0033297709830090146
M Morkel,-0.000720885650567278
M Muralitharan,-0.0010177995483999904
M Ntini,-0.012501396127059498
M Rawat,-0.0018276410269540103
M Vijay,-0.00042794050517774574
M Vohra,0.004332890139215614
MA Agarwal,-0.0002651695869972765
MA Khote,-0.006576884547055417
MA Starc,-0.004081329486082585
MC Henriques,-0.00202505785924959
MC Juneja,-0.0019018403177500916
MD Mishra,0.0015021134123197393
MEK Hussey,2.8489791930945355e-05
MF Maharoof,-0.0022896730521984494
MG Johnson,-0.0019851400531683125
MJ Clarke,-0.0013487338418145328
MJ Guptill,0.004435654949063814
MJ Lumb,0.004692152427722376
MJ McClenaghan,-0.002180407632296057
MK Pandey,-0.0002895858110686647
MK Tiwary,0.0001697798708775478
ML Hayden,0.004524281651752789
MM Patel,-0.001514885752647895
MM Sharma,-0.003545104413300155
MN Samuels,-0.009509239142979001
MN van Wyk,-0.0028651391977219426
MP Stoinis,-0.011705493108499752
MR Marsh,-0.0004443016589524745
MS Bisla,0.0007481066623212853
MS Dhoni,0.0030350656543079867
MS Gony,-0.011400279795429786
MS Wade,-0.03649580951160335
MV Boucher,0.0017662434818089866
Mandeep Singh,-0.002184657344030415
Misbah-ul-Haq,-0.0019860646555803297
Mohammad Asif,-0.0007856162393036485
Mohammad Hafeez,-0.0026399470411944286
Mohammed Shami,0.003913056997034748
N Rana,-0.0007259526925410607
N Saini,-9.783134361008477e-05
NJ Maddinson,-0.003518055784539909
NL McCullum,-0.0018244336628354884
NLTC Perera,0.00011161738067902801
NM Coulter-Nile,-0.007658347757208403
NS Naik,-0.035050941048227806
NV Ojha,-0.0014378972588883175
Niraj Patel,0.0030336610065814632
OA Shah,-0.0025975826417752165
P Awana,-0.036610455925424834
P Dogra,-0.0029922971294825793
P Kumar,-0.0005095447603947928
P Negi,-0.005012961723950149
P Parameswaran,0.03890745382979439
PA Patel,0.0002838368311491651
PA Reddy,0.0006367132153247974
PC Valthaty,0.001820773687680283
PD Collingwood,-0.0035266978448596172
PJ Cummins,-0.0025382082367601325
PJ Sangwan,-0.016753941676571574
PM Sarvesh Kumar,-0.0030570733283932436
PP Chawla,-0.001096380763657692
PP Ojha,-0.01035890090805363
PR Shah,-0.0008837547063591111
PV Tambe,7.112865552381582e-06
Pankaj Singh,-0.0006336560233836847
Parvez Rasool,-0.005530693253457221
Q de Kock,0.004029115763956538
R Ashwin,-0.011131993074424099
R Bhatia,-0.00396046967880783
R Bishnoi,-0.02810436135857525
R Dhawan,0.0048256316856486675
R Dravid,-0.0004641573872380165
R McLaren,-0.0019177603990064615
R Ninan,-0.001032401231707574
R Rampaul,0.008872148999550323
R Sathish,-4.789045884894512e-05
R Sharma,-0.008402700988168215
R Shukla,-0.003267690565134568
R Tewatia,-0.0013116290033516507
R Vinay Kumar,-0.0035858542836231916
RA Jadeja,-0.0008806710332025857
RA Tripathi,0.0016023314911917065
RE Levi,-0.003484274741569795
RE van der Merwe,-0.011678300890387766
RG Sharma,0.0010362414326156042
RJ Harris,-0.0020210667142867614
RJ Peterson,-0.0011931146558925446
RJ Quiney,-0.004826555735290896
RN ten Doeschate,-0.0074848050042778305
RP Singh,-0.03058353263204115
RR Pant,0.0040687901139942265
RR Powar,8.467305047498663e-06
RR Raje,-5.5054832980183776e-05
RR Rossouw,-0.013980211794000521
RR Sarwan,-0.0021930512188407885
RS Bopara,0.0007746445609634422
RS Gavaskar,-0.008032317975065293
RS Sodhi,7.326345338959372e-05
RT Ponting,-0.003970273436187332
RV Gomez,-0.07856390292704057
RV Uthappa,0.0023693560972811696
Rashid Khan,-0.042271844712695
S Anirudha,0.013880324015358632
S Aravind,0.0019966658462374095
S Badree,-0.010989756068457902
S Badrinath,-0.0028095278176637583
S Chanderpaul,0.00574791278869906
S Dhawan,0.0005537840175246555
S Kaul,-9.801884632860175e-05
S Kaushik,-0.00028453015410897153
S Ladda,-0.004854830630651445
S Nadeem,-0.0044260343828572525
S Narwal,0.0017313688763214887
S Rana,-0.002288315331556707
S Randiv,-0.014383538498071474
S Sohal,0.003437013800286541
S Sreesanth,0.0007038330178006782
S Sriram,-0.004951651317077654
S Tyagi,-0.001528204702238719
S Vidyut,-0.002885624422752292
SA Abbott,-0.018344796112262973
SA Asnodkar,-0.0018063912110494688
SA Yadav,-0.0007977867258215883
SB Bangar,-0.014299137142347079
SB Joshi,-3.545564272782137e-05
SB Styris,-0.007974069225508508
SB Wagh,-0.026403893647556045
SC Ganguly,0.0001893623613240328
SD Chitnis,-0.0038879260346418336
SE Bond,-0.003087145850797326
SE Marsh,0.0010401834592485995
SJ Srivastava,0.0
SK Raina,0.0022590240971355497
SK Trivedi,-0.0011117919689052702
SK Warne,-0.00140443020602982
SL Malinga,-0.01152904752758814
SM Harwood,0.0014558340124058195
SM Katich,0.003284682226354236
SM Pollock,-0.006353716132199818
SMSM Senanayake,-0.006394418568464682
SN Khan,-0.012308680384359933
SP Fleming,0.0036632825813037125
SP Goswami,-0.0001582396793630869
SP Jackson,-0.00407697826232352
SP Narine,0.0005352956862794841
SPD Smith,0.0007986972150233896
SR Tendulkar,0.00029118028986979184
SR Watson,0.0012603470320850301
SS Iyer,-0.001651255512742279
SS Shaikh,0.01092092916298534
SS Tiwary,-5.4873846882991456e-05
ST Jayasuriya,0.002122091812977856
STR Binny,0.0013487096414721135
SV Samson,-0.001368793518441224
SW Billings,-0.0024852997829786947
SW Tait,-0.0006191905273901006
Sachin Baby,-0.009047387446820338
Salman Butt,0.000682176794764135
Sandeep Sharma,-0.004729085299887845
Shahid Afridi,-0.0026066860420395606
Shakib Al Hasan,0.003213060201312076
Shoaib Ahmed,-0.009025737411590505
Shoaib Malik,-0.00894212769030019
Sohail Tanvir,0.030862987753281446
Sunny Gupta,-0.0011661690697735531
Sunny Singh,-0.0021642870700394946
Swapnil Singh,0.0016444067478618984
T Henderson,-0.009830379041012423
T Thushara,0.014425275673161727
TA Boult,-0.03601216464150524
TD Paine,-0.009868917682479331
TG Southee,0.022985346252537883
TL Suman,-0.0008784582513411789
TM Dilshan,0.0012495008382513721
TM Head,-0.002181051205874648
TM Srivastava,-0.007724635533069302
TR Birt,-0.005922761960726923
TS Mills,0.0014635052869108487
U Kaul,-0.00309786882616752
UA Birla,-0.01372692348213862
UBT Chand,-0.0009638728400849063
UT Khawaja,0.00089707931691267
UT Yadav,-0.000708196761735732
Umar Gul,-0.004814572654428163
V Kohli,0.0002503792983418109
V Sehwag,0.004330835757976702
V Shankar,0.003313603760725172
VR Aaron,0.0034484424049946827
VRV Singh,-0.00025034891704268925
VS Malik,-6.981120721696182e-07
VS Yeligati,0.08220528244098477
VVS Laxman,-0.003463824147958535
VY Mahesh,-0.008440175595276595
W Jaffer,-8.687950360797174e-05
WA Mota,-0.013092401039994496
WD Parnell,-0.022610494416508406
WP Saha,-0.0030808807368249073
WPUJC Vaas,-0.017457473219803708
Washington Sundar,-0.00627164515006413
Y Gnaneswara Rao,-0.003942566930100261
Y Nagar,-0.004936960009040459
Y Venugopal Rao,-0.004076706356947602
YK Pathan,0.001238351900630924
YS Chahal,-0.0016460643830239054
YV Takawale,5.70783563488438e-05
Yashpal Singh,-0.0001054091897540817
Younis Khan,-0.0031471515043454334
Yuvraj Singh,-0.0010777937202521345
Z Khan,-0.007701989268632038
